commune_name,longitude,latitude
Institut technologique d'entretien électromécanique المعهد التكنولوجي للصيانة الكهروميكانيكية,3.165421,36.7083947
École de Police,3.2071736,36.72419
CFPA Ben Mahdi Lounes مركز التكوين المهني بن مهدي لوناس,3.1906259,36.7181386
Université des Sciences et de la Technologie Houari Boumediene (USTHB),3.180566,36.7122451
CFPA Laghrous Abbas,3.2188187,36.7108268
École Supérieure des Techniciens Aéronautiques,3.2254087,36.7108857
INSP Omar Mazrari,3.1658862,36.7341869
Ecole Supérieur Algérienne des Affaires (ESAA),3.1610504,36.7317864
Ecole Nationale Supérieur de Technologie,3.3124545,36.7388465
CFPA,2.9961119,36.7478869
CFPA,2.989191,36.7256898
Cité Universitaire Feminine Ouled Fayet 3,2.9564199,36.728249
Cité Universitaire pour Filles 1,2.9445539,36.7183209
Institut Français d'Alger,3.060086,36.7744834
ENSV,3.1531219,36.725032
Centre National de Formation des Personnels Specialisés,3.054553,36.7196271
Institut National Spécialisé en Arts et Industries Graphiques,3.046284,36.731378
Institut National de Formation Supérieur des Cadres de la Jeunesse,3.0271644,36.727778
CFPA,3.081154,36.7317572
INSFP Si Athmane,3.0803467,36.7325248
Ecole Supérieure d'Hôtellerie et de Restauration d'Alger,2.9003914,36.7866998
Ecole Nationale Supérieure de Technologie ENST,3.2583392,36.7765755
Terrain pour Ecole paramédicale,2.9442465,36.7661769
CFPA Djanati Rabah,2.9532764,36.7621597
CFPA Houari Boumediene,3.0874237,36.6059974
École Nationale d'Administration,3.023601,36.7525502
CFPA El Hadj Djedai,3.0034957,36.7483691
École normale de Bouzaréah,3.0126523,36.781995
Ecole Superieure de Banque,2.9908254,36.7947045
CFPA Mouloud Kacem Nait Kacem,3.004392,36.7855272
CFPA Lounis Khodja Mohamed Arezki,3.0089075,36.797084
Ecole Paramédicale,3.1031315,36.7346504
Annexe E.N.S.V.,3.1513052,36.7152972
Departement de production et d'amélioration végétales,3.1505825,36.7153789
Ecole Nationale de la Protection Civile,3.2644286,36.785694
CFPA Boudjerda Kouider,3.0943856,36.7406686
Université de Sciences Islamiques,3.1170699,36.7334063
المعهد الفرنسي بالجزائر,3.0399865,36.7464901
Lycée Hocine Ait Ahmed,2.9112025,36.7024362
CFPA Hadjar Said,2.8371305,36.7115977
Lycée Said Touati,3.0466575,36.7893719
