@id,name,name:ar,network,network:wikidata,operator,operator:wikidata,public_transport,railway,tram,lon,lat,alt_name:ft,alt_name:ar,alt_name:fr,name:fr,name:de,name:en,source,name:it,shelter
node/3376367448,Ben Mered,بن مراد,ترامواي الجزائر,Q1688502,SETRAM,Q22688489,,tram_stop,,3.2294045,36.7589908,,,,Ben Mered,,Ben Mered,,,
node/3512265690,Les Fusillés,المعدومين,ترامواي الجزائر,Q1688502,SETRAM,Q22688489,stop_position,tram_stop,yes,3.0867914,36.7460096,,,,Les Fusillés,,,,,
node/3513492377,Ben Mered,بن مراد,ترامواي الجزائر,Q1688502,SETRAM,Q22688489,,tram_stop,,3.2293823,36.7590229,,,,,,,,,
node/3513515526,Café Chergui,قهوة شرقي,,,,,stop_position,tram_stop,yes,3.2501708,36.7774912,,,,,,,,,
node/3513529208,Mimouni Mahmoud,ميموني محمود,ترامواي الجزائر,Q1688502,SETRAM,Q22688489,,tram_stop,,3.2119574,36.7503702,,,,Mimouni Mahmoud,Mimouni Mahmoud,Mimouni Mahmoud,,Mimouni Mahmoud,
node/3513532150,Benzerga,,ترامواي الجزائر,Q1688502,SETRAM,Q22688489,,tram_stop,,3.2451316,36.7730613,,,,,,,,,
node/3513534789,Sidi Dris,سيدي دريس,ترامواي الجزائر,Q1688502,SETRAM,Q22688489,,tram_stop,,3.2384001,36.7660513,,,,,,,,,
node/3513537666,Mouhous,,ترامواي الجزائر,Q1688502,SETRAM,Q22688489,,tram_stop,,3.2064851,36.7493554,,,,,,,,,
node/3513540400,Ben Mrabet,بن مرابط,ترامواي الجزائر,Q1688502,SETRAM,Q22688489,,tram_stop,,3.2200865,36.753599,,,,,,,,,
node/3513552241,Bordj El Kiffan - Polyclinique,برج الكيفان - العيادة,ترامواي الجزائر,Q1688502,SETRAM,Q22688489,stop_position,tram_stop,yes,3.1971485,36.7482018,,,,,,,,,
node/3513552242,Bordj El Kiffan - Centre,برج الكيفان - وسط,ترامواي الجزائر,Q1688502,SETRAM,Q22688489,stop_position,tram_stop,yes,3.1909913,36.747044,,,,,,,,,
node/3513552990,Bordj El Kiffan - Lycée,برج الكيفان - الثانوية,ترامواي الجزائر,Q1688502,SETRAM,Q22688489,stop_position,tram_stop,yes,3.1876436,36.7453314,,,,,,,,,
node/3513571593,Cité Clair Matin,حي الصباح,ترامواي الجزائر,Q1688502,SETRAM,Q22688489,stop_position,tram_stop,yes,3.1860611,36.7409816,,,,,,,,,
node/3513573388,Cité 8 mai 1945,حي 8 ماي 1945,ترامواي الجزائر,Q1688502,SETRAM,Q22688489,stop_position,tram_stop,yes,3.1848779,36.737329,,,,,,,,,
node/3513574204,Bab Ezzouar - Le Pont,باب الزوار - الجسر,ترامواي الجزائر,Q1688502,SETRAM,Q22688489,stop_position,tram_stop,yes,3.1847488,36.7243368,,,,,,,,,
node/3513575500,Cité Universitaire - CUB 1,الإقامة الجامعية - ح ج ب 1,ترامواي الجزائر,Q1688502,SETRAM,Q22688489,stop_position,tram_stop,yes,3.1840388,36.7322534,,,,,,,,,
node/3513576390,Cité 5 juillet,حي 5 جويلية,ترامواي الجزائر,Q1688502,SETRAM,Q22688489,stop_position,tram_stop,yes,3.1827917,36.721547,,,,,,,,,
node/3513576791,Cité Rabia,حي رابية,ترامواي الجزائر,Q1688502,SETRAM,Q22688489,stop_position,tram_stop,yes,3.1770059,36.7244919,,,,,,,,,
node/3513604611,Université de Bab Ezzouar,جامعة باب الزوار,ترامواي الجزائر,Q1688502,SETRAM,Q22688489,stop_position,tram_stop,yes,3.1795987,36.7208223,,,,,,,,,
node/3513613686,Cité Mokhtar Zerhouni,حي مختار زرهوني,ترامواي الجزائر,Q1688502,SETRAM,Q22688489,stop_position,tram_stop,yes,3.1743557,36.7294778,,,,,,,,,
node/3513613882,Les Pins,الصنوبر,ترامواي الجزائر,Q1688502,SETRAM,Q22688489,stop_position,tram_stop,yes,3.1670089,36.7322233,,,,,,,,,
node/3513616950,Tamaris,حي المندرين,ترامواي الجزائر,Q1688502,,Q22688489,stop_position,tram_stop,yes,3.1732918,36.7326314,,,,,,,,,
node/3513651506,Foire d'Alger,قصر المعارض,ترامواي الجزائر,Q1688502,SETRAM,Q22688489,stop_position,tram_stop,yes,3.1613624,36.7312998,,,,,,,,,
node/3513668361,Cinq Maisons,الديار الخمس,ترامواي الجزائر,Q1688502,,Q22688489,,tram_stop,,3.1507849,36.7259033,,,,,,,,,
node/3513689110,Bekri Bouguerra,بكري بوقرة,ترامواي الجزائر,Q1688502,SETRAM,Q22688489,stop_position,tram_stop,yes,3.1434485,36.7278378,,,,Bekri Bouguerra,,,,,
node/3513693753,Bellevue,المنظر الجميل,ترامواي الجزائر,Q1688502,SETRAM,Q22688489,stop_position,tram_stop,yes,3.1360464,36.7295175,,,,,,,,,
