@id,name,name:ar,network,network:wikidata,operator,operator:wikidata,public_transport,railway,tram,lon,lat,alt_name:ft,alt_name:ar,alt_name:fr,name:fr,name:de,name:en,source,name:it,shelter,amenity,operator:fr,wikidata,wikipedia,@geometry,addr:city,addr:city:fr,building,old_name,old_name:fr,addr:postcode,layer,toilets:wheelchair,wheelchair,addr:housenumber,addr:street,addr:street:fr,barrier,denomination,operator:wikipedia,phone,website,addr:suburb,description,alt_name,check_date,opening_hours,religion,name:ber,name:kab,note,residential,landuse,old_name:ar,short_name,addr:country,email,wikimedia_commons,addr:state,contact:facebook,contact:twitter,contact:youtube,fax,name:pt,official_name:kab,old_short_name,addr:city:ar,name:es,facebook,alt_name:en,contact:email,contact:website,material,name:fa,short_name:fr
node/689997751,Cité Claire Matin,,ترامواي الجزائر,Q1688502,SETRAM,Q22688489,stop_position,tram_stop,yes,3.1860904,36.7409744,,,,حي الصباح,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node/689997781,Cité 8 Mai 1945,حي 8 ماي 1945,ترامواي الجزائر,Q1688502,SETRAM,Q22688489,stop_position,tram_stop,yes,3.1849088,36.7373281,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node/956392789,Ruisseau,الرويسو,ترامواي الجزائر,Q1688502,SETRAM,Q22688489,stop_position,tram_stop,yes,3.0834886,36.742878,,رويسو,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node/1626899500,Cité 5 juillet,حي 5 جويلية,ترامواي الجزائر,Q1688502,SETRAM,Q22688489,stop_position,tram_stop,yes,3.1828188,36.7215273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node/1929028675,Mouhous,,ترامواي الجزائر,Q1688502,SETRAM,Q22688489,,tram_stop,,3.206485,36.7493038,,,,Mouhous,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node/2253518514,La Glacière,الهواء الجميل,ترامواي الجزائر,Q1688502,SETRAM,Q22688489,stop_position,tram_stop,yes,3.1246314,36.7328166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node/2253518671,Caroubier,الخروبة,ترامواي الجزائر,Q1688502,SETRAM,Q22688489,,tram_stop,,3.1181771,36.7357136,,,,Caroubier,Caroubier,Caroubier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node/2253518723,Bellevue,المنظر الجميل,ترامواي الجزائر,Q1688502,SETRAM,Q22688489,stop_position,tram_stop,yes,3.1360516,36.7294979,,,,Bellevue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node/2402077544,Tripoli - Thâalibia,,,,SETRAM,,stop_position,tram_stop,yes,3.0922946,36.7452182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node/2951946502,Benzerga,,ترامواي الجزائر,Q1688502,SETRAM,Q22688489,,tram_stop,,3.2451557,36.7730406,,,,Benzerga,,Benzerga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
